epoch,train_loss,valid_loss,train_error,valid_error
0,2.3023584858535804,2.301548351215411,89.648,88.98
1,1.6724861716980215,1.3692756966699529,61.584,50.48
2,1.364417656913133,1.2070894324326817,49.774,43.49
3,1.2052256221051716,1.0994501317603678,43.606,39.83
4,1.0927862162175386,1.0413117635099194,39.232,37.04
5,1.0129267282193275,0.9431050525435919,36.344,33.01
6,0.9493511273427997,0.8863660512091238,33.708,31.39
7,0.8959346713922213,0.8689400334901447,31.734,30.84
8,0.8620060665528183,0.796448415593256,30.56,28.19
9,0.8241687333187484,0.7557176140290273,29.16,26.16
10,0.7937134854933795,0.7401815517039239,28.092,26.26
11,0.7680590242680991,0.7325589362579056,27.016,25.25
12,0.7529840993759273,0.7140232822563075,26.346,25.09
13,0.732819862377918,0.6804027640366856,25.752,23.89
14,0.7136582386920519,0.6740639062621926,25.204,23.43
15,0.6975693727850609,0.6527433882031259,24.46,22.5
16,0.6897327186506422,0.6813347905497008,24.194,23.29
17,0.6738610814904313,0.6357690831528434,23.734,21.48
18,0.6575576913021409,0.6467348159868506,23.026,22.82
19,0.6485276784738312,0.6302176653584347,22.746,21.8
20,0.6365286106496211,0.6074714781362799,22.438,20.86
21,0.6301922690685448,0.5972340495526036,22.21,20.54
22,0.618716669814361,0.6360835972466047,21.674,21.4
23,0.612024656875664,0.5938372438467001,21.506,20.53
24,0.6045871847273444,0.6200717721558824,21.362,21.35
25,0.5902683699070035,0.5739149986943112,20.822,19.38
26,0.5893854406636084,0.60971827371211,20.692,21.01
27,0.5745033385503627,0.5783799030358279,20.168,19.57
28,0.5723964029260914,0.5685759273510945,20.06,19.3
29,0.5618322136457009,0.581523123798491,19.824,20.02
30,0.5533345229637897,0.5802923618238184,19.518,19.47
31,0.5537710065579475,0.5801437383965601,19.496,19.56
32,0.5456715488372861,0.5937569529949864,19.122,19.94
33,0.5387699849465314,0.5763692780386044,18.806,19.86
34,0.5334055188214383,0.5571378620364998,18.852,18.85
35,0.5300870396749443,0.5519249224210088,18.612,18.65
36,0.5239277928686508,0.5249218073072313,18.434,17.97
37,0.5160826519322212,0.5566674953774561,18.126,19.09
38,0.5132167036728481,0.5754353573805169,18.054,18.55
39,0.5054506273830638,0.5648995513402963,17.848,19.32
40,0.5044051217453559,0.5611282277710831,17.722,18.54
41,0.5023300850482852,0.5515155177327651,17.63,18.53
42,0.49834526362626447,0.5416128226096117,17.396,18.25
43,0.49725439580505154,0.516720225162144,17.43,17.84
44,0.49019619753903443,0.527528776398188,17.438,17.51
45,0.48265099430175695,0.5668829837931862,17.106,18.77
46,0.48235733170643486,0.570117600167854,17.076,19.06
47,0.4734221859203885,0.5292310258255729,16.74,17.83
48,0.4740386529804191,0.5230896329577965,16.71,17.07
49,0.46970601505635645,0.5134303324584719,16.496,17.26
50,0.46403595858522695,0.5102440993997115,16.444,17.05
51,0.4616112857675918,0.5211466184899777,16.516,17.51
52,0.45535781003934955,0.5134486684316322,16.246,16.97
53,0.45245274238269345,0.5068473947953575,15.81,16.52
54,0.45219743510951166,0.5121282357958299,16.154,17.25
55,0.4426953659947876,0.531364260595056,15.696,16.95
56,0.4454663275833935,0.508283912758284,15.724,16.62
57,0.44079422680160885,0.5344700556767138,15.534,17.99
58,0.4352723475917221,0.5222818998596336,15.394,17.06
59,0.4372539450902768,0.5130761816531797,15.436,17.45
60,0.4331607820890139,0.5249504182912126,15.244,17.44
61,0.4259145411155413,0.5026403820212884,15.14,16.39
62,0.43060739265988246,0.51036433894423,15.264,16.75
63,0.42274227151480476,0.4967834479823897,14.938,16.52
64,0.42422017169273113,0.5138533643529385,14.956,16.8
65,0.42135396211043646,0.4921828510263298,14.964,16.02
66,0.41935689728278336,0.4874554815926129,14.968,16.29
67,0.4115267476005018,0.5195594203623035,14.658,16.83
68,0.4105337483956076,0.5091746068453487,14.654,16.88
69,0.4085681501709287,0.517288172358199,14.586,16.76
70,0.4070807912999102,0.5168969742482221,14.364,17.0
71,0.4074393377432128,0.5186342125452017,14.338,17.04
72,0.39982909047999954,0.5039107814619813,14.072,16.31
73,0.3986442061641332,0.5363975901015198,14.164,16.98
74,0.3956961028487481,0.5125403185433979,14.028,15.91
75,0.39594457616738954,0.4954044901871983,14.212,16.51
76,0.3958157244545724,0.499641457501846,14.088,15.81
77,0.3883113169380466,0.5098421007772035,13.79,16.89
78,0.3849117644988667,0.4980292082587375,13.606,16.03
79,0.3846486362502398,0.5072998374323302,13.596,16.25
80,0.3850909352988538,0.5047469882270957,13.686,15.97
81,0.3847066652591881,0.48500232587132275,13.686,15.83
82,0.3776062419423667,0.47271036026598534,13.3,15.61
83,0.3765828065631335,0.4876311149778245,13.214,15.9
84,0.37814537914055385,0.487122279745114,13.504,15.62
85,0.37769997142769796,0.5167448743234707,13.46,16.98
86,0.3721430364167294,0.5096541914758803,13.154,16.47
87,0.3736535935755581,0.5003953410100334,13.14,15.97
88,0.366398310074416,0.5073493251317664,12.972,16.17
89,0.36134400510269665,0.49080458396597754,12.92,15.68
90,0.3613826571141972,0.5014759170103676,12.864,15.98
91,0.36574692841228623,0.5106303012823756,12.938,16.22
92,0.3606983206003828,0.527008203766014,12.774,16.07
93,0.3563794633540351,0.49902578282959853,12.536,15.96
94,0.36062279728519947,0.4981431025492994,12.838,16.09
95,0.3549090205022441,0.5075637388832962,12.716,16.04
96,0.3550943125544302,0.48215816518928434,12.68,15.34
97,0.3448526268572454,0.5107880455406406,12.268,16.0
98,0.3532106716690771,0.5156264240983166,12.466,16.33
99,0.351155041619335,0.5027435355925862,12.648,15.69
100,0.3490308625313937,0.504036478226698,12.38,15.69
101,0.35087545147484833,0.5160655681091019,12.62,16.08
102,0.34448011048004756,0.5220559220525283,12.292,16.11
103,0.34620624292841956,0.5166583453552632,12.38,16.15
104,0.3443758773529316,0.4987381462809406,12.142,15.37
105,0.3417405117960537,0.498616123124014,12.176,16.02
106,0.3369595122230632,0.4925376742700987,11.984,15.01
107,0.3358637306010327,0.512462901918194,11.896,16.04
108,0.3340628803004999,0.5206795023589195,11.972,16.07
109,0.33731264904941743,0.5070662355121178,12.106,15.86
110,0.3299435333675131,0.5052886759933037,11.748,15.66
111,0.32836357753752443,0.4907575074253203,11.788,15.64
112,0.327116373173721,0.5009980967527703,11.814,15.48
113,0.3303564897431132,0.50168935068046,11.84,15.65
114,0.32794375168850354,0.4972275601157659,11.682,15.38
115,0.3260356967177842,0.48395340578465523,11.65,15.03
116,0.32242205960061543,0.5201862801479388,11.61,16.36
117,0.3189789713038813,0.5027893215795106,11.426,15.11
118,0.3213621493419418,0.512759217544447,11.416,15.49
119,0.3181814813171811,0.5014696306065668,11.306,15.11
120,0.3164141018829687,0.49397973867156836,11.242,15.39
121,0.3140678634805143,0.5331121818928779,11.29,16.15
122,0.3131340873210936,0.4937432917613017,11.214,14.85
123,0.3115803366884246,0.4964771687607222,11.268,15.55
124,0.3135382813946975,0.5072901098034049,11.15,15.63
125,0.31578850025868477,0.5273354030862639,11.37,15.69
126,0.3097097820714307,0.4994073055590255,11.144,15.0
127,0.3089987294524527,0.5160394175143181,11.07,15.81
128,0.30830651350186,0.4874525107914888,10.952,15.07
129,0.306120130107226,0.4939605520118641,10.89,14.97
130,0.30330835663906447,0.5029145677255679,10.852,14.89
131,0.30187566496450885,0.5070485834833942,10.776,15.71
132,0.3038692945409614,0.5147455229034906,10.896,15.26
133,0.304418892582969,0.5204976531146448,10.798,15.42
134,0.30277984808473024,0.5143238992630681,10.646,15.64
135,0.3008760863634022,0.49709657815438285,10.696,15.47
136,0.2983859820134195,0.5092296924772142,10.798,15.49
137,0.3013103594408011,0.4949101258682299,10.668,15.09
138,0.2999314819379231,0.5140105897112738,10.75,15.37
139,0.29637374021970403,0.5188813469832456,10.642,15.18
140,0.2913587511424213,0.5005282333380059,10.388,15.21
141,0.2869293447345724,0.4991139328177971,10.41,14.89
142,0.2972441765734607,0.5121155392520035,10.662,14.89
143,0.2922810131631544,0.49378197668473933,10.468,14.65
144,0.2868067855991976,0.5206671413741534,10.376,15.43
145,0.28761190530436725,0.5230469541459144,10.402,15.79
146,0.2885915960573479,0.5254580718052538,10.496,15.16
147,0.28502255895406087,0.5279051486072661,10.058,15.39
148,0.2852720304980607,0.5202800403290158,10.288,15.11
149,0.2862557316451426,0.5286553181424926,10.166,15.53
150,0.28630063292163105,0.49572382848474045,10.194,15.06
151,0.28498705996729223,0.5083734464796283,10.206,15.19
152,0.28377634969056414,0.5072812726603279,10.168,15.35
153,0.2855331462133876,0.5098658843508249,10.188,15.23
154,0.28034803740051395,0.5000658974617342,10.032,15.31
