epoch,train_loss,valid_loss,train_error,valid_error
0,525.05717230209,486.3335895779767,100.0,100.0
1,2.7326736367876876,2.131072872801672,85.418,80.52
2,1.8596944263219224,1.6837425880794283,70.73,62.16
3,1.6063565043232324,1.4501087846635263,59.918,53.17
4,1.4559002382980892,1.4393766877017444,53.248,49.31
5,1.3595909276581786,1.3181195862685577,49.368,48.1
6,1.2570122699908284,1.1469819047782994,45.364,41.69
7,1.169609568155635,1.1155979950216752,41.83,39.66
8,1.1396750327571274,1.0963808237751829,40.544,38.88
9,1.0334221780147699,1.0283643158176277,36.502,35.51
10,0.9896046191530155,0.9019495648673818,34.924,31.57
11,0.9578315972367211,0.8459055604813974,33.59,29.08
12,0.9352468602797565,0.8212160136126265,32.59,28.34
13,0.8546445967291322,0.8348060220102721,29.93,28.48
14,0.8250149633268566,2.8150117020063763,28.618,43.26
15,0.8643442817661159,0.7267332152475284,30.204,24.7
16,0.8147385942051782,0.7623530513123621,28.12,25.94
17,0.7562420713474683,0.7355464097065262,26.308,25.44
18,0.7263881707435373,0.7035307431522804,25.102,24.63
19,0.7114244839724373,0.7387069414688062,24.63,24.88
20,0.7993631565662296,1.1563794990129108,27.542,28.78
21,0.7800010992285541,0.6817414545560185,26.916,22.88
22,0.6741211594218184,0.6417656623864476,23.524,21.67
23,0.6731680097329952,0.916234427615057,23.282,25.06
24,0.6438711867155626,0.8121698792976669,22.154,26.52
25,0.6945272096435128,0.8547689899613585,23.846,27.96
26,0.6685465598655174,0.5787747358974022,23.092,19.81
27,0.6213027417964643,0.6014767096766943,21.298,20.52
28,0.6007209506333636,0.5874587361571155,20.51,20.32
29,0.556819083821743,0.6000876030589961,19.158,20.21
30,0.5529197096977088,0.5684881553619723,18.93,18.89
31,0.5471794685286939,0.5346960142443452,18.866,18.06
32,0.5255697738484043,0.6908861100673676,18.104,22.19
33,0.5466099641359675,0.7796802769733381,18.768,26.49
34,0.661711710493278,0.5970409878447086,22.432,19.43
35,0.5291206177390749,0.5390306511257268,18.234,18.08
36,0.5100510571618824,0.5813679117945176,17.588,19.61
37,0.5013409833926374,0.6125044196466857,17.074,19.15
38,0.5041594256068129,0.5269673210156115,17.162,17.42
39,0.4535122385720158,0.49540817662130426,15.732,16.37
40,0.46220753564858985,0.5478417035899584,15.902,17.88
41,0.4468146159368403,0.518155912809734,15.41,17.47
42,0.4374311315967604,0.4808890065060386,15.192,15.9
43,0.4738618784091052,0.5181718404534497,16.096,17.02
44,0.4325692564096597,0.4793167859315872,15.104,15.16
45,0.40799117740005486,0.6055415095407751,14.182,18.4
46,0.40174599353919555,0.5052429531948476,14.104,16.46
47,0.6762400872033575,0.5686710495737535,23.0,18.33
48,0.5716568336767309,0.8510741225526303,19.358,22.19
49,0.45854995028137246,0.4724985534631753,15.964,15.89
50,0.7010128083436385,0.7026762362522415,23.376,23.18
51,0.598958343877207,0.500587295505065,20.344,16.78
52,0.4210759387982776,0.44648917075953903,14.652,14.73
53,0.38178730483555123,0.4868728533575806,13.238,15.46
54,0.3809244612522442,0.4725946082344538,13.106,15.34
55,0.35905487522902085,0.47909425878072087,12.426,15.74
56,0.3492747077246761,0.48882654007477094,12.244,15.65
57,0.3449542950791166,0.4929272589049762,12.226,15.63
58,0.3382170680157669,0.4697328111793421,11.68,14.94
59,0.3342785674821385,0.45540183537368534,11.706,14.58
60,0.323130732530828,0.46511460633217533,11.38,15.08
61,0.3227896980579247,0.4739709100391291,11.11,15.22
62,0.31942417847988247,0.503627239148828,11.086,15.6
63,0.3155992285293691,0.46131806169884115,11.004,14.4
64,0.46826599568814575,0.4836257152919528,15.384,15.34
65,0.32397722157523456,0.6301044421859935,11.342,17.97
66,0.36111162812508585,0.5732244207889219,12.31,18.62
67,0.3372012180897891,0.4942713300638561,11.81,15.31
68,0.3691964678447265,0.48672130194645896,12.766,15.0
69,0.29473366978985577,0.45654550006118,10.122,14.72
70,0.35454975072380224,0.45283975084371203,12.288,14.33
71,0.3414268996518896,0.5767265207405332,11.602,18.27
72,0.3067780201087522,0.4729788337327257,10.6,14.83
73,0.2659033200015192,0.5094768644510945,9.244,14.97
74,0.25951804091101105,0.4976461435420604,9.06,15.36
75,0.4621814399043008,0.4959907486468931,15.116,15.05
76,0.2938852149735936,0.4990423261364804,10.352,14.87
77,0.25782821838127074,0.49988849442216415,9.068,14.61
78,0.29171685935438746,0.4833042732899702,9.784,14.06
79,0.2657778026045436,0.4971880079070224,9.172,14.67
80,0.26957714125094817,0.4503204320804982,9.324,13.58
81,0.3237082803112162,0.44270347436017626,11.026,14.42
82,0.24556267840783005,0.4855426244343383,8.5,14.17
83,0.294911163866215,0.5072588986611064,10.254,15.17
84,0.23647242582515074,0.47473466509505163,8.342,13.97
85,0.22720541029482547,0.48894649668584894,7.968,14.19
86,0.219849460589154,0.46840616909763483,7.774,14.24
87,0.22030121621573368,0.46924311450765105,7.81,13.47
88,0.21569335081464494,0.47885498234742807,7.504,14.17
89,0.22021797897718143,0.46808816662317587,7.616,14.63
90,0.2106093731720734,0.4852128855035275,7.43,13.94
91,0.20959470840290073,0.48851152235948586,7.354,14.17
92,0.20600526280643994,0.5306784812408157,7.26,14.65
93,0.20031881916439137,0.5019181027442594,7.128,14.11
94,0.19994771709222622,0.50785889089862,6.964,14.17
95,0.201135187578933,0.4724147240572338,7.082,13.96
96,0.19552937519672275,0.5001115798950195,6.73,13.82
97,0.32093433841415075,2.8116201931917213,10.476,34.1
98,0.610763249952165,0.5177159267890302,20.092,16.1
99,0.3047573903142034,0.47297894964112513,10.634,14.78
100,0.22703911562252532,0.4885853805308101,7.936,14.4
101,0.18022237933429,0.4599842097185835,6.186,13.0
102,0.1631992195763856,0.4567162563340573,5.784,13.06
103,0.15733728649290016,0.46313206832620163,5.492,12.95
104,0.15042035223539832,0.4640334404156178,5.252,12.99
105,0.1448180262485276,0.4614738260832014,5.082,12.89
