epoch,train_loss,valid_loss,train_error,valid_error
0,6.934415012369375,6.934529038924206,100.0,100.0
1,1.8714503519370427,1.6921604162530055,66.41,56.65
2,1.4014694983392115,1.20551720525645,50.926,42.66
3,1.1859000377033069,1.099602430681639,42.182,38.41
4,1.0501185705899583,0.9827495828459535,37.332,34.17
5,0.968104533984533,0.8258594425418709,34.052,28.91
6,0.891545933073439,0.832025603403019,31.292,28.91
7,0.8406375956047526,0.7821574746807919,29.3,27.08
8,0.7927862320409711,0.7302639024167121,27.704,24.95
9,0.7593184552534157,0.7212634343135206,26.552,24.82
10,0.729408579028171,0.7883127052572709,25.316,26.5
11,0.6969422627135616,0.7987558351287359,24.172,25.72
12,0.6729508599509364,0.6151156700864623,23.374,21.39
13,0.6457146075375549,0.667287035078942,22.48,22.66
14,0.6327792055466596,0.6142691238017022,22.024,21.06
15,0.611233180136327,0.6016978338549409,21.222,20.78
16,0.591104820561226,0.6418086720418327,20.556,21.9
17,0.5776260736805704,0.6174622830710833,20.136,21.08
18,0.5612530703739742,0.580156900460207,19.452,19.27
19,0.5440921703415453,0.5766207639929615,18.882,19.7
20,0.5404681968871895,0.5295409914813464,18.876,17.81
21,0.5192821146277211,0.5502953280376482,18.124,18.69
22,0.5095798040899779,0.5556317707405815,17.868,18.89
23,0.491664364286091,0.5700091715854935,17.158,19.15
24,0.48674871397140385,0.544135656537889,17.04,18.23
25,0.4705109602350103,0.5726606234719481,16.478,18.89
26,0.4623184797480283,0.541244240501259,16.1,18.34
27,0.4520647344381913,0.5591113967231557,15.702,18.4
28,0.44469524519827663,0.5364282033111476,15.674,17.66
29,0.45643510865738324,0.5398151455800745,15.842,18.19
30,0.4404405387466216,0.5132060054736801,15.28,17.18
31,0.4146313336118103,0.5226784363577638,14.434,17.15
32,0.4093176482812218,0.5479649426061896,14.256,17.59
33,0.3948571534108018,0.5197638691980627,13.862,16.39
34,0.39210539499816993,0.5085055937495413,13.682,16.39
35,0.38464677551060994,0.5201730686652509,13.43,16.57
36,0.3809787229732479,0.5312968300113196,13.592,17.34
37,0.4613140915970668,0.5200295780278459,15.812,16.91
38,0.37622991783539655,0.5275052563299106,13.094,16.6
39,0.3726683525020814,0.5110072621816322,12.938,16.85
40,0.36339161139162607,0.5018223324153996,12.862,15.74
41,0.34785409153574876,0.5445121070252189,12.316,17.15
42,0.34347364119708995,0.5163712841046008,11.962,16.16
43,0.33429137184796737,0.5230386409955688,11.73,16.36
44,0.3283785495459271,0.5559400631279885,11.454,17.2
45,0.3222970893925718,0.5188939084735098,11.326,16.18
46,0.31852991673190273,0.5076233804980411,11.106,16.17
47,0.31250120120127794,0.5440629633921611,11.036,16.47
48,0.3071008046226733,0.5443377657027184,10.726,16.81
49,0.3059047234561437,0.5226867353614373,10.832,15.84
50,0.31014583639019283,0.5142138196697718,10.86,16.14
51,0.2964451569882805,0.5096345758890803,10.63,15.84
52,0.2894448648442698,0.5541307352766206,10.466,16.79
53,0.28448624100983905,0.537437809796273,10.102,16.07
54,0.2893782319010371,0.549348121391067,10.098,16.05
55,0.28123867483166476,0.5275280558610265,9.738,15.43
56,0.27180536438132186,0.5450418044494677,9.538,16.03
57,0.26384269425173856,0.5501786847657795,9.304,15.88
58,0.260633660742389,0.5053892863702171,9.244,15.33
59,0.2639379056022905,0.5361809971966321,9.32,15.72
60,0.25580643597618696,0.5454284809058225,9.074,15.81
61,0.2571971896092605,0.5167030750573436,9.072,15.26
62,0.24712147091127112,0.5171918359738362,8.686,15.17
63,0.24627852167391107,0.5376645922660828,8.618,15.52
64,0.24143976053161084,0.5358297025101094,8.46,15.65
65,0.24307232708348642,0.5370769164984739,8.492,15.68
66,0.2363599245734227,0.5818996836867514,8.298,16.52
67,0.23003496610752458,0.5908810132289235,8.16,16.11
68,0.2342091139472659,0.542918096992034,8.262,15.69
69,0.22529930585180707,0.5539938600002965,7.966,15.67
70,0.3940790686041803,0.5388670028010502,13.43,16.2
71,0.26338055087706014,0.5260803840960129,9.374,15.43
72,0.22391967917494762,0.5224281734303583,7.958,15.32
73,0.21652481539170151,0.5353441934419584,7.626,14.94
74,0.21192676358668092,0.5327190915240517,7.444,15.01
75,0.2082742014733117,0.5437434196849412,7.378,14.69
76,0.20239266006233136,0.5761763310130639,7.174,16.0
77,0.20081882272153864,0.5614651318969606,7.06,15.54
78,0.20226499825106253,0.5550604903999763,7.172,15.59
79,0.19331200361785378,0.5781890487746347,6.74,15.73
80,0.1959100783519123,0.567670377749431,6.942,15.37
81,0.19285795105921338,0.6080038373983359,6.908,16.21
82,0.19384783877969702,0.5901342709607715,6.928,16.0
