epoch,train_loss,valid_loss,train_error,valid_error
0,30648.88192335358,27313.99705795095,100.0,100.0
1,2.703793969605585,2.033121614516536,85.132,79.7
2,1.9364685448234344,1.8991049377224114,76.05,73.1
3,1.8358358635621912,1.7078728751291203,70.342,63.92
4,1.7627127329101953,1.724027411847175,66.042,60.48
5,1.5545916770730177,1.4347639144221438,57.246,52.54
6,1.4694874573241719,1.481679782082763,53.92,52.22
7,1.3969133147193342,1.3395253910294063,50.432,48.41
8,1.3006297767619648,1.271948196465456,47.104,44.15
9,1.2240759718143726,1.372860697251332,43.74,43.07
10,1.2499210613462932,1.1744890907142735,44.484,43.32
11,1.141870824119929,1.3155192468739763,40.834,40.18
12,1.0841303935746098,1.1023542232151273,38.166,38.01
13,0.9916573148554243,0.9470278862156446,35.142,32.42
14,0.950256228294519,0.9200649819796598,33.37,32.09
15,0.9394532975638309,1.1391752068000505,32.904,36.81
16,0.863510508366558,0.821285099168367,30.024,27.24
17,0.8139217052313373,1.2416767719425732,28.468,38.54
18,0.78717356889754,0.846379323096215,27.424,28.93
19,0.7568705598716541,0.7105053150201146,26.256,24.01
20,0.7284538322092627,0.7007627389099025,25.282,23.95
21,0.837107540167811,0.8677407510672943,29.028,28.6
22,0.7546244916098807,0.715815918732293,26.01,24.56
23,0.6917295428493139,0.6455047651182247,23.896,21.51
24,0.6691832181895175,0.6743530566933789,23.262,22.87
25,0.7206501270194188,0.6717048626911791,24.714,23.19
26,0.6398566305027593,0.8236738390560392,22.02,26.19
27,0.6159253612046351,0.6450440621451486,21.342,21.66
28,0.7768356485287552,9.889975140366372,26.004,56.92
29,0.9091461732259492,1.4849734336515017,30.87,24.25
30,0.9448961501993487,0.9807480332217638,32.866,32.87
31,0.7843519232767012,0.7504577350012863,27.192,25.42
32,0.6735259062798736,0.619854075621955,23.318,21.31
33,0.6317479905417508,0.6117004465453232,21.92,21.04
34,0.5891055540203134,0.5745783455764191,20.228,19.47
35,0.5654619667688598,1.1001260423962074,19.628,34.25
36,0.6248392588494683,0.55267632347119,21.518,18.81
37,0.5340616783827467,0.6063120934782149,18.456,20.35
38,0.5184354859087473,0.5341992257516596,18.024,17.69
39,0.5018009251493323,0.5183023485956313,17.354,17.8
40,0.48870066494283165,0.5362579075596,16.912,18.35
41,0.6538160162813523,9.64841775690453,22.312,32.39
42,0.6803257347220351,0.6567158740532549,23.278,19.35
43,0.5168861680475952,0.5617008412940593,17.794,18.53
44,0.46901904843042574,0.543946571742432,16.256,18.35
45,0.4549082195972238,0.6245387894443318,15.664,20.51
46,0.4812844204704475,0.6164508288419699,16.606,19.59
47,0.5246395389823353,0.5514157372939436,17.962,18.09
48,0.5224022423214925,0.534411639352388,18.068,17.66
49,0.5059535110469364,1.5321843307229537,17.164,23.66
50,0.5243777914730179,0.5192685828933233,18.01,17.29
51,0.5357633250601151,2.964401328865486,18.184,19.38
52,0.5810772706480587,66.28781785768798,19.956,21.34
53,0.48559877299286824,2.284983865067929,16.86,17.12
54,0.42390828451994433,0.7547847877574873,14.48,16.49
55,0.39852098164046207,0.8018326087843014,13.75,16.03
56,0.3828305549100232,1.7038343424284006,13.122,15.77
57,0.38798913283421255,1.768702037349532,13.508,16.88
58,0.3634329570833679,1.9162850308267376,12.52,17.24
59,0.36566346514103054,1.459285122307041,12.678,16.08
60,0.348666938140874,1.8608349550373946,12.008,15.98
61,0.3534476835938061,0.5183468977861767,12.032,15.87
62,0.39741278590296236,0.9197541460206237,13.714,16.44
63,0.33830809962871433,0.49979805305034297,11.8,15.76
64,0.32996923074393014,0.5006393111204799,11.344,16.36
65,0.6395634258418437,1.2500340927250777,21.582,35.15
66,0.5845913610723622,0.8974379187897791,20.254,24.69
67,0.5302872935600598,32.66092283891726,18.314,24.43
68,0.47698926807516984,75.17813677086106,16.602,17.24
69,0.3844382162670345,29.19535307906851,13.488,16.03
70,0.3264893767092844,236.51860609612888,11.34,16.44
