epoch,train_loss,valid_loss,train_error,valid_error
0,6.986470548088288,6.968302907823007,97.23,96.4
1,1.9687266825410106,1.6308991033819658,71.1,59.13
2,1.518573229270213,1.3851253246959252,55.682,50.2
3,1.3294970437388896,1.1988529615764376,48.07,42.71
4,1.2261264366871865,1.232118296472332,44.122,39.29
5,1.091128555862495,0.9755711298954638,39.078,34.01
6,1.0243481191832695,0.9888061088851735,36.278,34.29
7,1.0055911214760198,0.8637968890274628,35.508,30.33
8,0.9790362891028909,0.8214058642145954,34.248,28.65
9,0.8827985436715129,0.7660069231745563,31.034,26.27
10,0.8357256423786777,0.7422319839272318,29.146,25.84
11,0.7777944335242366,0.752035145518146,27.146,26.38
12,0.7448364134182406,0.7348899448974223,26.076,25.24
13,0.724534432220337,0.6890550697151618,25.498,23.4
14,0.7005104130643713,0.6629162306272531,24.414,23.31
15,0.6960335335768092,0.6528569097760357,24.3,22.33
16,0.6555807951008877,0.6133797662922099,22.612,21.33
17,0.639132820279397,0.6013060178183303,22.232,20.7
18,0.6214134385213828,0.601190640579296,21.578,20.62
19,0.607130634738966,0.62893664874608,21.018,21.31
20,0.587759711096049,0.6193696871588502,20.6,20.86
21,0.5689153000521843,0.6030591560315482,19.86,20.32
22,0.5623021481744469,0.5845882839794401,19.556,19.73
23,0.6061090104415289,0.6707977490334571,20.912,22.33
24,0.5417269060526357,0.583256346892707,18.682,19.36
25,0.5163722220436692,0.5420037655136253,17.92,18.32
26,0.5052784169116593,0.5480989877936207,17.668,18.04
27,0.4945965771327543,0.5635757865030554,17.282,18.94
28,0.4892480679790077,0.5829074397871766,17.068,18.66
29,0.48770456202804585,0.5486471441727651,16.912,18.42
30,0.4552136575017134,0.5344605027120325,16.022,17.63
31,0.4590973804521439,0.5576020373573786,15.82,18.27
32,0.442801167402426,0.5295544353467,15.48,17.92
33,0.43023561871112764,0.5113671142843705,15.026,16.86
34,0.4215730027393307,0.5280886058565937,14.664,17.13
35,0.4117291232051752,0.5270898051654236,14.416,16.7
36,0.4138131246847265,0.5337703612786305,14.472,17.03
37,0.3921824815251943,0.5563292816469941,13.986,17.63
38,0.3849560139353013,0.5082570144647285,13.578,16.47
39,0.38174722738125744,0.5272470897511591,13.42,16.33
40,0.3830080123051353,0.5171392590184755,13.368,16.53
41,0.3765601902971487,0.5274494539333295,13.272,16.72
42,0.46266813793450673,0.5377430523498149,15.744,17.33
43,0.38198893801178163,0.5538620113194743,13.358,17.49
44,0.3496257150569535,0.5113262903841236,12.178,16.1
45,0.3390481086338268,0.502532800353026,11.822,16.03
46,0.33010069008373544,0.5553181854229939,11.496,16.55
47,0.3253708748561342,0.5180247784415378,11.226,15.73
48,0.31900689809980903,0.5395059645930423,11.048,16.65
49,0.3180058657970575,0.5422248776200451,11.082,16.42
50,0.31182631389106935,0.5213970956923086,10.744,15.97
51,0.3031577922956413,0.5491908901854406,10.57,16.5
52,0.3042473809798355,0.5417565054531339,10.694,16.1
53,0.2996688024772098,0.5510711590700512,10.402,15.88
54,0.2898418037101741,0.5320700407028198,10.188,15.84
55,0.3092247864512531,0.5620026811014248,10.648,17.17
56,0.2979319405449016,0.5185740431652793,10.514,15.76
57,0.2751146231961372,0.5152106569914878,9.618,15.3
58,0.2688570526021216,0.5530788611762131,9.508,15.49
59,0.2702293953551051,0.533256233492984,9.506,15.75
60,0.27004525355061,0.5355311952814271,9.566,16.34
61,0.2558939153581019,0.626318701083147,9.09,17.19
62,0.2834751898103663,0.5599283968346028,9.78,15.58
63,0.25466399639844894,0.5452570849204366,8.998,15.87
64,0.24739046465329198,0.5360013465338116,8.612,15.41
65,0.2476350465775146,0.5403857370720634,8.812,15.45
66,0.2569241532698617,0.5516172904002515,9.06,16.13
67,0.23599938385169525,0.5852810680111752,8.338,15.95
68,0.23459919159064818,0.5495354246489609,8.226,15.45
69,0.23478651250643498,0.5539770761056791,8.252,16.37
70,0.22585346605009435,0.5640572439643401,7.974,15.69
71,0.2251425588031864,0.5196458470972278,7.914,15.12
72,0.2212058515347483,0.5459205915656271,7.712,15.8
73,0.22410692846226266,0.5865852787524839,7.85,16.06
74,0.21157827204488733,0.5744889042799985,7.522,15.71
75,0.2111985053857574,0.5382371978669227,7.436,15.27
76,0.2048793788951681,0.5454868438500392,7.308,15.17
77,0.2066216323229358,0.5811135135119474,7.26,15.81
78,0.20487399324965294,0.5574248169984999,7.2,15.29
79,0.4655666019948547,0.5904972564570511,15.31,18.71
80,0.3119812117665625,0.5839324399263044,11.092,16.32
81,0.23848019022008646,0.5665440469320062,8.486,15.84
82,0.20704140483647052,0.5653209433525423,7.53,15.31
83,0.1965182691888736,0.5736084450272065,6.906,15.19
84,0.19539519058316565,0.5788596166840082,6.758,14.99
85,0.18778823384695956,0.8825452278686475,6.668,15.24
86,0.179657463279679,0.6943026454765585,6.404,15.73
87,0.18070388951188768,0.8216861624129211,6.274,15.35
88,0.17228970806235852,1.9493342438076116,6.048,15.42
89,0.17795102202031007,1.3942971918024594,6.174,15.11
90,0.17277844870448722,0.9132851750790318,6.034,15.26
91,0.17391814234311623,1.0598011331844934,6.082,15.84
92,0.1808373820027122,2.3294230526006676,6.274,15.65
93,0.1712808025443493,5.072601165198073,5.984,15.6
94,0.17324945210572093,2.0647191771223574,6.064,15.59
95,0.17605422057992662,2.752254283503641,6.136,15.73
96,0.1765870225837316,0.6751885648015179,6.156,16.39
97,0.17506342901445715,0.9907715067833285,6.154,15.42
98,0.16803417826438194,2.2434536452534832,5.93,16.19
99,0.1733394307477395,3.3069902541516702,6.03,17.63
100,0.1662285593636048,3.1963364417794384,5.866,15.78
101,0.12411816643022211,4.408849626779556,4.404,14.75
102,0.1055753457090815,3.011151822496064,3.69,14.35
103,0.09631950301987588,2.682552048865753,3.356,14.19
104,0.09311457639059904,2.086175814270973,3.272,14.13
105,0.09151660968713901,2.493480648421034,3.188,13.96
106,0.08282179218690719,6.1525699799951115,2.846,14.52
107,0.08153764883775616,2.622461136194724,2.826,14.18
